epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,g,m
0,0.0,25.0,25,False,False,((((((((((((((((-((((((b/((((1.0*(((l0)**(0.5))+h0)))**(0.5))-g)))**(2)))**(2))))**(2)))**(2))+sv))**(2)))**(2)))**(-1))+fyh))**(0.5)))**(-1)),"[inv sqrt add inv n2 n2 add n2 n2 neg n2 n2 div b sub sqrt mul 1.0 add
 sqrt l0 h0 g sv fyh]",1.0,1.0
0,0.0,23.0,23,False,False,(-((l0/-((((l0/h*((((sv*(((sh/-((1.0/(fyh/sv)))))**(-1)))-g))**(-1))))**(0.5)))))-g),"[sub neg div l0 neg sqrt mul l0/h inv sub mul sv inv div sh neg div 1.0
 div fyh sv g g]",1.0,1.0
0,0.0,25.0,25,False,False,((((((((((((fyh/((((ρv/-((h0*-((((fyl/sv))**(-1))))))-h))**(-1))))**(-1))+l0/h))**(0.5)))**(0.5))-l0/h))**(-1))+b),"[add inv sub sqrt sqrt add inv div fyh inv sub div ρv neg mul h0 neg inv
 div fyl sv h l0/h l0/h b]",1.0,1.0
0,0.0,22.0,22,False,False,-(((((((((-((a-a))/(ρl+ρh))/(sh*(((fyv/fyl))**(-1))))-a))**(-1)))**(0.5))-a)),"[neg sub sqrt inv sub div div neg sub a a add ρl ρh mul sh inv div fyv fyl
 a a]",1.0,1.0
0,0.0,26.0,26,False,False,(sv*((((((fyv/fyl)-ρl)*((((1.0/(-((((-((h-a))+fyv))**(-1)))-h))+fyh))**(0.5)))+h0))**(0.5))),"[mul sv sqrt add mul sub div fyv fyl ρl sqrt add div 1.0 sub neg inv add
 neg sub h a fyv h fyh h0]",1.0,1.0
0,0.0,28.0,28,False,False,((l0/h/(((-(((((-((m*((((((-(((1.0)**(2))))**(0.5)))**(-1))+1.0)+ρv))))**(2))-a/h0)+1.0))+g)+a/h0)-ρh))+fc'),"[add div l0/h sub add add neg add sub n2 neg mul m add add inv sqrt neg n2
 1.0 1.0 ρv a/h0 1.0 g a/h0 ρh fc']",1.0,1.0
0,0.0,22.0,22,False,False,(((-(((((((-(((fyv)**(-1)))/((((-((((1.0/(((l0/h-g))**(-1))))**(0.5))))**(2)))**(-1))))**(0.5))-fyh))**(-1))))**(-1))+l0/h),"[add inv neg inv sub sqrt div neg inv fyv inv n2 neg sqrt div 1.0 inv sub
 l0/h g fyh l0/h]",1.0,1.0
0,0.0,24.0,24,False,False,(a/h0*((sh*(((cos((((fyl)**(2))/(1.0/-((((m/(((((m)**(2))+b))**(0.5))))**(0.5))))))*b))**(2)))-g)),"[mul a/h0 sub mul sh n2 mul cos div n2 fyl div 1.0 neg sqrt div m sqrt add
 n2 m b b g]",1.0,1.0
0,0.0,24.0,24,False,False,((exp((l0*((a)**(-1))))*(((((fyv)**(0.5))*(fyh/((1.0/(((m*(m*l0)))**(-1)))+fyl))))**(0.5)))+h0),"[add mul exp mul l0 inv a sqrt mul sqrt fyv div fyh add div 1.0 inv mul m
 mul m l0 fyl h0]",1.0,1.0
0,0.0,23.0,23,False,False,((-((fyv/-(((-((-((fyv/((b*(((ρh*(((m)**(-1))+a)))**(-1)))+sh)))+h0)))**(0.5))))))**(0.5)),"[sqrt neg div fyv neg sqrt neg add neg div fyv add mul b inv mul ρh add
 inv m a sh h0]",1.0,1.0
0,0.0,25.0,25,False,False,(((((fyh/(((sh/(a/((((g/(((ρv*((fyl-a/h0)-fyl)))**(2))))**(2))+1.0))))**(-1)))+1.0))**(0.5))+fyv),"[add sqrt add div fyh inv div sh div a add n2 div g n2 mul ρv sub sub fyl
 a/h0 fyl 1.0 1.0 fyv]",1.0,1.0
0,0.0,24.0,24,False,False,(((((ρv*(ρh/(((((l0*(((((((((((b/sv)-a))**(-1))+a))**(-1)))**(2))-fyl)-l0)))**(2)))**(-1)))))**(-1)))**(0.5)),"[sqrt inv mul ρv div ρh inv n2 mul l0 sub sub n2 inv add inv sub div b sv
 a a fyl l0]",1.0,1.0
0,0.0,24.0,24,False,False,((((log(-(((ρh)**(0.5))))/(m/((((((-((l0/(fyv*(sh-a/h0))))+fyl))**(-1))+ρl))**(-1))))+sh))**(0.5)),"[sqrt add div log neg sqrt ρh div m inv add inv add neg div l0 mul fyv sub
 sh a/h0 fyl ρl sh]",1.0,1.0
